number_of_orders,no_of_products,total_sales,gmv,avg_daily_sales,aprox_exist_inventory,is_rental,shop_size,business_age(year),electricity_bill,rent_amount,shop_type,using_pos,credit_score
1 to 50,101 to 200,"258,923",200001 to 500000,6001 to 9000,100k - 300k,Rented,272 - 408,9 to 12,More than 5000,0,General Store,No,4.1
1 to 50,101 to 200,"331,203",200001 to 500000,6001 to 9000,100k - 300k,Owned,Less than 136,9 to 12,More than 5000,0,Kiryana,No,4.4
1 to 50,301 to 400,"317,697",200001 to 500000,3001 to 6000,100k - 300k,Rented,Less than 136,4 to 8,More than 5000,5001 to 10000,Kiryana,No,3.6
1 to 50,101 to 200,"176,217",1 to 200000,3001 to 6000,100k - 300k,Rented,136 - 271,1 to 3,More than 5000,0,Kiryana,No,3.3
1 to 50,101 to 200,"421,083",200001 to 500000,6001 to 9000,100k - 300k,Owned,136 - 271,4 to 8,More than 5000,0,General Store,No,4.4
1 to 50,51 to 100,"273,997",200001 to 500000,6001 to 9000,100k - 300k,Rented,272 - 408,1 to 3,More than 5000,0,Kiryana,No,3.9
1 to 50,101 to 200,"222,577",1 to 200000,3001 to 6000,100k - 300k,Rented,272 - 408,1 to 3,More than 5000,0,Kiryana,No,3.4
1 to 50,301 to 400,"283,568",200001 to 500000,3001 to 6000,100k - 300k,Rented,136 - 271,1 to 3,More than 5000,0,Kiryana,No,3.7
1 to 50,1 to 50,"33,520",1 to 200000,3001 to 6000,100k - 300k,Rented,Less than 136,13+,More than 5000,0,Kiryana,No,3.4
1 to 50,51 to 100,"299,028",200001 to 500000,6001 to 9000,100k - 300k,Rented,272 - 408,4 to 8,More than 5000,0,Kiryana,No,4
1 to 50,51 to 100,"67,297",1 to 200000,3001 to 6000,100k - 300k,Rented,Less than 136,4 to 8,More than 5000,0,PanShop / Juice Corner / Canteen,No,3.2
1 to 50,101 to 200,"315,385",200001 to 500000,6001 to 9000,100k - 300k,Owned,272 - 408,1 to 3,More than 5000,0,General Store,No,4.4
1 to 50,101 to 200,"334,631",200001 to 500000,6001 to 9000,100k - 300k,Owned,272 - 408,4 to 8,More than 5000,0,Super Store,No,4.6
1 to 50,101 to 200,"178,414",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,9 to 12,More than 5000,0,Kiryana,No,3.9
1 to 50,51 to 100,"105,275",1 to 200000,3001 to 6000,100K - 300K,Owned,545+,13+,More than 5000,0,Super Store,No,4.4
1 to 50,1 to 50,"23,732",1 to 200000,1 to 3000,300K - 500K,Owned,409 - 544,13+,More than 5000,0,Super Store,No,4.5
1 to 50,101 to 200,"131,189",1 to 200000,3001 to 6000,500K+,Owned,545+,13+,More than 5000,0,General Store,No,5.3
1 to 50,51 to 100,"78,218",1 to 200000,3001 to 6000,100K - 300K,Owned,136 - 271,13+,More than 5000,0,General Store,No,4
1 to 50,1 to 50,"30,979",1 to 200000,1 to 3000,500K+,Owned,545+,13+,More than 5000,0,Bakery,No,4.9
1 to 50,1 to 50,"49,513",1 to 200000,3001 to 6000,500K+,Owned,545+,13+,More than 5000,0,General Store,No,5.1
1 to 50,1 to 50,"3,240",1 to 200000,3001 to 6000,500K+,Rented,272 - 408,13+,More than 5000,10001 to 15000,General Store,No,4.2
1 to 50,1 to 50,"34,664",1 to 200000,3001 to 6000,100K - 300K,Rented,272 - 408,13+,More than 5000,5001 to 10000,General Store,No,3.4
51 to 100,1 to 50,"33,743",1 to 200000,3001 to 6000,500K+,Rented,545+,13+,More than 5000,25000+,Wholesale,No,4.4
1 to 50,1 to 50,"4,240",1 to 200000,3001 to 6000,500K+,Owned,409 - 544,13+,More than 5000,0,General Store,No,5
1 to 50,1 to 50,"21,354",1 to 200000,6001 to 9000,500K+,Rented,545+,13+,2000 - 5000,15001 to 20000,Kiryana,No,4.6
1 to 50,1 to 50,"530,159",500001 to 1000000,20000+,500K+,Rented,409 - 544,13+,More than 5000,25000+,Kiryana,No,5.9
1 to 50,51 to 100,"104,036",1 to 200000,3001 to 6000,100K - 300K,Owned,136 - 271,13+,More than 5000,0,General Store,No,4
1 to 50,51 to 100,"83,504",1 to 200000,3001 to 6000,500K+,Owned,409 - 544,13+,2000 - 5000,0,Kiryana,No,5.1
51 to 100,101 to 200,"530,242",200001 to 500000,6001 to 9000,100K - 300K,Owned,272 - 408,13+,2000 - 5000,0,Super Store,No,4.9
1 to 50,1 to 50,"61,272",1 to 200000,3001 to 6000,500K+,Owned,272 - 408,13+,More than 5000,0,General Store,No,4.9
1 to 50,51 to 100,"105,018",1 to 200000,3001 to 6000,500K+,Owned,409 - 544,Less than 1 Year,More than 5000,0,Super Store,No,4.8
1 to 50,1 to 50,"50,242",1 to 200000,20000+,500K+,Rented,545+,Less than 1 Year,More than 5000,25000+,Super Store,No,5
1 to 50,101 to 200,"274,214",1 to 200000,3001 to 6000,100K - 300K,Rented,136 - 271,Less than 1 Year,More than 5000,5001 to 10000,Kiryana,No,3.1
1 to 50,1 to 50,"38,374",1 to 200000,3001 to 6000,100K - 300K,Rented,136 - 271,Less than 1 Year,More than 5000,1 to 5000,Kiryana,No,3
1 to 50,101 to 200,"369,994",200001 to 500000,3001 to 6000,300K - 500K,Rented,136 - 271,Less than 1 Year,2000 - 5000,5001 to 10000,General Store,No,3.7
1 to 50,1 to 50,"35,507",1 to 200000,3001 to 6000,Less than 100k,Rented,136 - 271,Less than 1 Year,More than 5000,5001 to 10000,PanShop / Juice Corner / Canteen,No,2.7
1 to 50,1 to 50,"27,815",1 to 200000,3001 to 6000,100K - 300K,Rented,136 - 271,Less than 1 Year,More than 5000,15001 to 20000,Bakery,No,2.7
1 to 50,1 to 50,"115,600",1 to 200000,3001 to 6000,100K - 300K,Rented,272 - 408,Less than 1 Year,More than 5000,15001 to 20000,Super Store,No,2.9
1 to 50,1 to 50,"14,365",1 to 200000,3001 to 6000,500K+,Rented,272 - 408,Less than 1 Year,2000 - 5000,5001 to 10000,Kiryana,No,3.9
1 to 50,51 to 100,"135,197",1 to 200000,1 to 3000,300K - 500K,Owned,409 - 544,Less than 1 Year,More than 5000,0,Kiryana,No,4.1
1 to 50,1 to 50,"19,983",1 to 200000,3001 to 6000,500K+,Owned,272 - 408,Less than 1 Year,2000 - 5000,0,Kiryana,No,4.5
1 to 50,1 to 50,"4,215",1 to 200000,3001 to 6000,500K+,Rented,272 - 408,Less than 1 Year,More than 5000,25000+,Super Store,No,3.6
1 to 50,1 to 50,"112,556",1 to 200000,3001 to 6000,100K - 300K,Rented,136 - 271,Less than 1 Year,More than 5000,15001 to 20000,General Store,No,2.7
1 to 50,1 to 50,"92,079",1 to 200000,9001 to 12000,500K+,Rented,545+,Less than 1 Year,More than 5000,25000+,Super Store,No,4.4
1 to 50,101 to 200,"232,790",200001 to 500000,3001 to 6000,100K - 300K,Rented,272 - 408,Less than 1 Year,More than 5000,5001 to 10000,General Store,No,3.4
1 to 50,101 to 200,"175,546",1 to 200000,6001 to 9000,Less than 100k,Owned,136 - 271,Less than 1 Year,Less than 2000,0,Kiryana,No,3.6
1 to 50,1 to 50,"60,614",1 to 200000,3001 to 6000,500K+,Rented,545+,Less than 1 Year,More than 5000,25000+,Super Store,No,3.8
1 to 50,51 to 100,"159,525",1 to 200000,3001 to 6000,Less than 100k,Rented,272 - 408,Less than 1 Year,Less than 2000,1 to 5000,Kiryana,No,2.7
1 to 50,51 to 100,"136,206",1 to 200000,3001 to 6000,100K - 300K,Owned,272 - 408,Less than 1 Year,2000 - 5000,0,General Store,No,3.6
1 to 50,51 to 100,"70,182",1 to 200000,3001 to 6000,Less than 100k,Rented,272 - 408,Less than 1 Year,2000 - 5000,5001 to 10000,Super Store,No,2.8
1 to 50,1 to 50,"93,014",1 to 200000,3001 to 6000,Less than 100k,Owned,136 - 271,Less than 1 Year,More than 5000,0,Kiryana,No,3.3
